"id";"niveau";"matiere";"theme";"chapitre";"ordre";"difficulte";"titre";"contexte";"question";"mots_cles";"correction";"xp"
"MT3-05";"terminale";"management";"Thème 3 : Les organisations et la société";"Les changements de modes de vie s'imposent-ils aux organisations ?";"5";"2";"L'application Yuka";"L'application Yuka scanne les codes-barres des produits alimentaires pour évaluer leur impact sur la santé. Suite au succès de l'application, l'enseigne Intermarché a supprimé des dizaines d'additifs controversés de ses produits de marque distributeur.";"Expliquez comment le succès de cette application illustre l'évolution des rapports de force entre consommateurs et organisations.";"modes de consommation | transparence | pouvoir du consommateur | adaptation";"Yuka illustre l'exigence croissante de transparence et de consommation responsable (alimentation saine). Le numérique donne un outil d'information puissant au consommateur, inversant le rapport de force. Les entreprises (comme Intermarché) sont contraintes de s'adapter très rapidement à ces nouveaux modes de vie pour éviter un boycott massif de leurs produits mal notés.";"20"
"MT3-06";"terminale";"management";"Thème 3 : Les organisations et la société";"Quelles relations entre les organisations et leur écosystème ?";"6";"2";"Écosystème Aérospace Valley";"À Toulouse, le pôle de compétitivité 'Aerospace Valley' regroupe le géant Airbus, des centaines de PME sous-traitantes, des écoles d'ingénieurs (ISAE-SUPAERO) et des laboratoires de recherche publics, tous géographiquement proches.";"Analysez l'intérêt pour une PME de s'implanter au sein de cette grappe d'entreprises (cluster).";"écosystème | grappe d'entreprises | cluster | innovation | territoire";"L'implantation dans ce cluster est un avantage stratégique. L'écosystème crée une synergie : la PME bénéficie d'un vivier de compétences (écoles), de partenariats de recherche, et d'un accès direct aux commandes d'Airbus. Cette proximité géographique et relationnelle stimule l'innovation collective et renforce la compétitivité de tout le territoire toulousain.";"20"
"MT3-07";"terminale";"management";"Thème 3 : Les organisations et la société";"Les organisations peuvent-elles s'affranchir des questions de société ?";"7";"3";"Égalité Société Générale";"La Société Générale a mis en place un programme strict pour identifier et combler les écarts de salaires inexpliqués entre les hommes et les femmes à poste égal. De plus, elle impose qu'il y ait au moins 40% de femmes dans ses comités de direction.";"Diagnostiquez les enjeux de cette politique de lutte contre les discriminations pour la banque.";"discriminations | égalité hommes-femmes | éthique | RSE | attractivité";"L'enjeu est triple. Juridique : se conformer à la loi (index égalité professionnelle). Éthique/Sociétal : répondre aux attentes de la société civile en matière de justice sociale, en corrigeant le 'plafond de verre' dans le secteur bancaire. RH/Managérial : la diversité dans les instances dirigeantes améliore la qualité de décision (diversité des profils) et renforce la marque employeur pour attirer des talents féminins de haut niveau.";"30"
"MT3-08";"terminale";"management";"Thème 3 : Les organisations et la société";"Les transformations numériques, de nouvelles responsabilités ?";"8";"3";"Algorithmes Criteo";"Criteo, fleuron technologique français, utilise des algorithmes complexes pour afficher des bannières publicitaires ciblées aux internautes en fonction de leur navigation passée. Des associations dénoncent l'opacité de ces outils de ciblage.";"Évaluez le risque éthique lié à l'utilisation de ces technologies et la responsabilité de l'entreprise.";"transparence des algorithmes | données personnelles | éthique | numérique";"Le ciblage comportemental soulève la question de la transparence des algorithmes (effet 'boîte noire'). Le risque éthique est la manipulation du consommateur à son insu et l'intrusion massive dans sa vie privée. La responsabilité de Criteo est d'expliquer de manière pédagogique le fonctionnement de ses algorithmes et de garantir le droit à l'opposition (opt-out), faute de quoi elle risque une perte de légitimité sociale.";"30"
"MT3-09";"terminale";"management";"Thème 3 : Les organisations et la société";"Quelles relations entre les organisations et leur écosystème ?";"9";"3";"Relocalisation Stellantis";"Le groupe automobile Stellantis (Peugeot-Fiat) a décidé de relocaliser la fabrication d'une partie de ses moteurs électriques en France, sur le site de Trémery (Moselle), après des années de délocalisation en Asie.";"Analysez les impacts croisés de cette décision stratégique d'implantation pour l'entreprise et pour le territoire local.";"stratégie d'implantation | territoire | relocalisation | externalités positives";"Pour Stellantis : l'entreprise sécurise sa chaîne d'approvisionnement (moins de dépendance asiatique), raccourcit ses délais logistiques et bénéficie du label 'Fabriqué en France' très vendeur. Pour le territoire de Trémery : la relocalisation génère des externalités positives massives (maintien/création d'emplois industriels, rentrées fiscales pour la collectivité locale, dynamisation du tissu de sous-traitants régionaux). L'interaction est vertueuse.";"30"
"MT3-10";"terminale";"management";"Thème 3 : Les organisations et la société";"Les changements de modes de vie s'imposent-ils aux organisations ?";"10";"4";"Modèle Back Market";"Back Market est une plateforme française spécialisée dans la vente de smartphones et ordinateurs reconditionnés (réparés et remis à neuf). Elle connaît une croissance explosive face à l'achat de produits électroniques neufs.";"Argumentez en quoi le modèle d'affaires de Back Market est une réponse pertinente aux préoccupations écologiques de la société actuelle.";"modes de consommation | économie circulaire | développement durable | obsolescence";"Argumentation : La société prend conscience de l'empreinte écologique désastreuse de l'électronique (extraction de métaux rares, e-déchets, obsolescence programmée). Back Market capte cette attente par l'économie circulaire : le produit est remis dans le circuit plutôt que jeté. L'entreprise crée de la valeur économique (forte croissance) tout en générant de la valeur écologique, offrant au consommateur responsable un acte d'achat déculpabilisant et moins cher.";"40"
"MT3-11";"terminale";"management";"Thème 3 : Les organisations et la société";"Les organisations peuvent-elles s'affranchir des questions de société ?";"11";"4";"Pression sociétale McDonald's";"McDonald's France fait face à de violentes critiques sur la quantité d'emballages jetables utilisés et sur la diététique de ses menus enfants. L'enseigne risque de perdre une grande partie de sa clientèle familiale soucieuse de l'environnement et de la santé.";"Proposez et justifiez un plan d'action RSE (Responsabilité Sociétale des Entreprises) pour McDonald's face à ces pressions.";"RSE | pressions sociétales | éthique | image de marque";"Plan d'action RSE : 1. Environnement : Remplacer l'ensemble de la vaisselle jetable (plastique/carton) par de la vaisselle lavable et réutilisable pour la consommation sur place (action déjà amorcée par contrainte légale, mais à valoriser en communication). 2. Santé : Améliorer le 'Nutri-Score' des menus, baisser les taux de sel/sucre et proposer systématiquement des alternatives bio/végétales. L'enjeu vital est d'éviter le décrochage avec les normes sociétales (éviter d'être l'incarnation de la 'malbouffe polluante').";"40"
"MT3-12";"terminale";"management";"Thème 3 : Les organisations et la société";"Les transformations numériques, de nouvelles responsabilités ?";"12";"4";"Cybersécurité chez Ledger";"L'entreprise française Ledger conçoit des portefeuilles physiques ultra-sécurisés (clés USB) pour protéger les cryptomonnaies de ses clients contre le piratage, dans un environnement numérique marqué par de fréquents piratages de plateformes d'échange.";"Évaluez comment la prise en compte des menaces du cyberespace constitue le cœur de la proposition de valeur de Ledger.";"cybersécurité | blockchain | données stratégiques | protection";"Dans l'univers de la blockchain, le vol de données (clés privées) signifie la perte définitive de l'argent. La menace cyber est totale. Ledger ne vend pas qu'une clé USB, elle vend de la confiance et de la sécurité cryptographique absolue. Sa responsabilité de protection des données est son business model même. Son avantage concurrentiel mondial repose sur son expertise technologique garantissant l'inviolabilité du patrimoine numérique de ses clients.";"40"
"MT3-13";"terminale";"management";"Thème 3 : Les organisations et la société";"Les organisations peuvent-elles s'affranchir des questions de société ?";"13";"5";"Arbitrage complexe Veolia";"Veolia exploite une usine d'incinération de déchets très rentable qui emploie 300 personnes dans un bassin peu dynamique. Cependant, les nouvelles normes environnementales révèlent que l'usine émet un niveau de pollution atmosphérique jugé nocif pour les riverains. La mise aux normes coûterait la moitié du chiffre d'affaires.";"Argumentez la décision stratégique que doit prendre le PDG en équilibrant les responsabilités économiques, sociales et environnementales de son groupe.";"éthique | RSE | externalités négatives | arbitrage stratégique";"Argumentation : Veolia ne peut pas s'affranchir de ses externalités négatives (pollution). Ne rien faire engagerait sa responsabilité juridique et détruirait son image de champion de l'environnement (green washing). Fermer l'usine entraînerait un désastre social (300 chômeurs). Décision : Le PDG doit engager les travaux de mise aux normes, quitte à dégrader la rentabilité à court terme. Il doit négocier des aides avec l'État ou la région (écosystème) pour co-financer l'investissement, prouvant que la pérennité de l'entreprise repose sur un équilibre entre santé publique, emploi local et profitabilité.";"50"
"MT3-14";"terminale";"management";"Thème 3 : Les organisations et la société";"Quelles relations entre les organisations et leur écosystème ?";"14";"5";"Partenariats Biocoop";"Le réseau de magasins bio Biocoop refuse d'acheter des produits cotés en bourse ou transportés par avion. L'enseigne souhaite développer de nouveaux magasins dans une région agricole, en exigeant que les gérants tissent des contrats équitables exclusifs avec des maraîchers locaux situés à moins de 150 km.";"Élaborez un diagnostic sur la manière dont Biocoop construit volontairement un écosystème d'affaires restrictif mais créateur de valeur.";"écosystème d'affaires | partenariats | stratégie locale | valeurs";"Diagnostic : Biocoop rejette la logique de l'hypermarché globalisé. En imposant la proximité et l'équité, l'enseigne crée un écosystème d'affaires très intégré et territorialisé. C'est restrictif (moins de produits, pas de fruits hors saison) mais extrêmement puissant. Cela sécurise les revenus des producteurs partenaires (confiance, circuits courts) et crée une valeur d'estime inattaquable auprès d'une clientèle militante. L'entreprise structure son territoire et prouve que son modèle éthique est viable économiquement.";"50"
"MT3-15";"terminale";"management";"Thème 3 : Les organisations et la société";"Quelles relations entre les organisations et leur écosystème ?";"15";"5";"Écosystème d'innovation Renault";"Pour produire ses futures voitures électriques, Renault a initié le pôle 'Software République' en s'associant avec des concurrents, des fournisseurs informatiques (Atos, Dassault Systèmes) et des instituts de recherche publics, partageant ainsi ses recherches sur la batterie et l'intelligence artificielle.";"Construisez un argumentaire démontrant que, face à la concurrence technologique (Tesla, constructeurs chinois), la survie d'une entreprise traditionnelle passe par la création d'un écosystème d'innovation ouvert plutôt que par le secret industriel.";"écosystème d'innovation | coopération | compétitivité | alliances stratégiques";"Argumentaire : La voiture de demain est un 'ordinateur sur roues'. Renault, constructeur traditionnel, n'a pas les ressources financières ni le temps pour développer seul l'expertise logicielle, les puces et les batteries face aux géants américains et asiatiques (risques de rupture technologique). S'isoler dans le secret industriel serait fatal. La création d'un écosystème d'innovation (Software République) permet de mutualiser les risques financiers, de croiser des compétences ultra-spécialisées (synergie public/privé/tech) et d'accélérer la R&D. La coopétition (coopérer avec des rivaux) devient la condition de survie de l'industrie européenne.";"50"
